species,species_id
N2,N#N_m1
Ne,[Ne]_m1
CO(1),[C-]#[O+]_m1
H2(2),[H][H]_m1
O2(3),[O][O]_m3
H(4),[H]_m2
O(5),[O]_m3
HO2(10),[O]O_m2
CO2(12),O=C=O_m1
OH(6),[OH]_m2
H2O(7),O_m1
HCO(13),[CH]=O_m2
H2O2(11),OO_m1
CHO4(45),[O]OC(=O)O_m2
HOCO(39),O=[C]O_m2
CHO3(61),[O]C(=O)O_m2
CHO2(38),[O]C=O_m2
CHO4(44),[O]C(=O)OO_m2
CH2O3(82),O=C(O)O_m1
