,species,species_id
160,S(122),CCCCOO_m1
161,S(2773),[O]OC1CCOOC1_m2
162,C4H9O(278),CCCC[O]_m2
163,S(3536),[O]CCC=CC=O_m2
164,S(3109),C1C=COC=1_m1
165,S(3484),C=CC=C=O_m1
166,S(3118),[O]CC=CC=O_m2
167,S(3175),C=CC[C]=O_m2
168,S(3772),CC([O])CC=CC=O_m2
169,S(5044),O=CC=CC=O_m1
170,S(5360),[O]C(C=CC=O)CC=O_m2
171,S(1564),[CH2]OCC(C)=O_m2
172,S(3916),C#CCC([O])C(=C)O_m2
173,S(5358),[O]C=CC=COCC=O_m2
174,C3H4(3494),[C]=CC_m1
175,S(3361),C=CCC([O])C(=C)O_m2
176,S(4663),[O]OC1=COOC1_m2
177,S(5042),O=C1C=CC1_m1
178,S(2627),C=C(O)C([O])CC=O_m2
179,S(2624),[CH2]C(O)=COCC=O_m2
180,S(5476),[O]C1=COOC1_m2
181,S(5831),[O]CC(=O)C=O_m2
182,S(5912),[O]C=C(O)C=O_m2
183,S(6133),[O]OC(O)(C=O)C=O_m2
184,S(6061),O=C=C(O)C=O_m1
185,S(5906),O=CC(=O)C=O_m1
186,C4H6(927),C=C=CC_m1
187,S(6303),O=[C]C(O)[C]=O_m3
188,S(3515),C#CC[C]=O_m2
189,S(2987),[CH2]OC=C=C_m2
190,S(1640),CC(=O)CC(C)[O]_m2
191,S(1639),C[CH]OCC(C)=O_m2
192,S(4120),[O]OCC1CCOO1_m2
193,S(2892),C=CC(CC)O[O]_m2
194,S(2893),CCC=CCO[O]_m2
195,S(6323),O=C1C(=O)C1O_m1
196,C4H6(934),[CH]C=CC_m3
197,S(6992),C=CCC([O])C(=O)C=O_m2
198,S(6991),C=CCC([O])(C=O)C=O_m2
199,S(6983),C=CCC([O])C(O)=C=O_m2
200,S(6324),O=[C][CH]O_m3
201,S(6307),O=C=CO_m1
202,C4H6(1421),CC1C=C1_m1
203,S(7184),[O]OC(O)[C]=O_m3
204,S(7512),O=C1OOC1O_m1
205,S(1853),[O]C(=O)C([O])O_m3
206,S(3851),C#CCC([O])CC=O_m2
207,S(6596),[CH2]C(=CC)O[O]_m3
208,S(7103),OOCC1[CH]COO1_m2
209,C4H5(6321),C#C[CH]C_m2
210,S(2261),[CH2]C(O)=CO_m2
211,S(5045),[O]C=CC=CO_m2
212,S(6274),[O]OC(O)([C]=O)C=O_m3
213,S(7829),C#CC(C)O[O]_m2
214,S(7826),C#CC(C)C(C)[O]_m2
215,C4H5(6320),[CH2]C#CC_m2
216,C4H4(7722),C#CC=C_m1
217,S(7905),CC#CCC[O]_m2
218,S(7959),CC#CCO[O]_m2
219,S(8003),CC#CCC(C)[O]_m2
220,S(1600),[CH2]C(=O)CC(C)=O_m2
221,S(7850),CC1[C]=COO1_m2
222,S(7963),C=C[C]=CO[O]_m3
223,S(8053),CC1=[C]COO1_m2
224,S(7960),C=C=C(C)O[O]_m2
225,C4H4(7861),[C]=CC=C_m1
226,S(8023),CC#CCC([O])O_m2
227,S(6631),[O]C(C=O)=COCC=O_m2
228,S(6632),[O]C(C=O)(C=O)CC=O_m2
229,S(5241),[O]OC(O)C=CC=O_m2
230,S(6633),[O]C(CC=O)C(=O)C=O_m2
231,S(6115),[O]C=C(C=O)OCC=O_m2
232,S(5227),OC1[CH]C=CO1_m2
233,S(5251),COC=CC=C[O]_m2
234,S(7832),[O]OC(C=O)C=CO_m2
235,S(5214),O=[C]C=CC=O_m2
236,S(7874),CC#CC[C]=O_m2
237,C3H3O(371),[CH]=CC=O_m2
238,S(8355),[O]OC(C=O)C=C=O_m2
239,S(8354),[O]OC(=O)C=CC=O_m2
240,S(8211),O=C1[CH]C=CO1_m2
241,S(8220),O=[C]CC=C=O_m2
242,C3H3O(372),[CH2]C=C=O_m2
243,S(8541),[O]OC1C=COC1=O_m2
244,S(8542),[O]OC1C=CC(=O)O1_m2
245,S(8431),[O]C=C=CC(=O)OO_m2
246,S(8959),CC1OOCC=1O[O]_m2
247,S(8958),CC1OOC=C1O[O]_m2
248,S(7717),C=CC(COO)O[O]_m2
249,S(8422),O=CC1[CH]C(=O)OO1_m2
250,S(8726),O=CC1=CC(=O)O1_m1
251,S(9083),[O]C=C([O])C=C=O_m3
252,S(9130),O=C=CC(=O)C=O_m1
253,S(9132),O=C=C=C(O)C=O_m1
254,S(9114),O=C=CC(O)=C=O_m1
255,S(9048),CC1OO[CH]C1=O_m2
256,S(9040),CC1OOCC=1[O]_m2
257,S(1070),C=C[CH]COO_m2
258,S(6407),CC([O])C(=O)C=O_m2
259,S(9804),CC(=O)C(=O)C[O]_m2
260,S(529),CC(=O)[C]=O_m2
261,S(6403),CC(=O)C(O)=C[O]_m2
262,S(9861),CC(=O)C(O)(C=O)O[O]_m2
263,S(9831),C=C([O])C(O)=CO_m2
264,S(9568),CC([O])C1C(=O)OOC1C=O_m2
265,S(9425),[O]CC1C(=O)OOC1C=O_m2
266,S(10036),[O]CCC(=O)C(O)=CO_m2
267,S(9866),C=C([O])C(O)(C=O)OO_m2
268,S(7772),C=C(O)C(O)=C[O]_m2
269,S(10118),[O]OCC(=O)C(O)=CO_m2
270,S(9809),CC(=O)C(=O)C=O_m1
271,S(9876),C=C(O)C(O)(C=O)O[O]_m2
272,S(9061),O=C1[CH]C(=CO)OO1_m2
273,S(10409),[O]OCC(O)=C(O)C=O_m2
274,S(9049),[O]C1C2OOC(=O)C12_m2
275,S(9052),[O]C=C1CC(=O)OO1_m2
276,S(2285),C=C(O)C(O)O[O]_m2
277,S(10783),[O]C(=O)CC(=O)C=O_m2
278,S(149),[CH2]C(=O)C=O_m2
279,S(9637),[O]C(=CC(=O)C=O)CC=O_m2
280,S(9636),[O]C(CC=O)C(=O)C=C=O_m2
281,S(9634),[O]C(C=O)(C=C=O)CC=O_m2
282,S(9631),[O]C=C(C=C=O)OCC=O_m2
283,S(9632),[O]C(C=C=O)=COCC=O_m2
284,S(10288),[O]CCC(O)=C(O)C=O_m2
285,S(9821),CC(=O)C(=O)[CH]O_m2
286,S(10416),CC(=O)C(=O)C([O])CC=O_m2
287,S(8540),[O]OC1C=CC(O)O1_m2
288,S(10415),CC(=O)C([O])(C=O)CC=O_m2
289,S(10240),CC(=O)C(=O)C(O)O[O]_m2
