chemkin_index,string,reaction_id,ig_delay
1224,IC4H9+NC3H7O2<=>IC4H9O+NC3H7O,CC([CH2])C_m2.CCCO[O]_m2>>[O]CC(C)C_m2.CCC[O]_m2,0.000000279
1225,IC4H9+SC4H9O2<=>IC4H9O+SC4H9O,CC([CH2])C_m2.CC(O[O])CC_m2>>[O]CC(C)C_m2.CCC([O])C_m2,1.47E-08
1226,IC4H9+PC4H9O2<=>IC4H9O+PC4H9O,CC([CH2])C_m2.CCCCO[O]_m2>>[O]CC(C)C_m2.CCCC[O]_m2,0.000000044
1227,IC4H9+IC3H7O2<=>IC4H9O+IC3H7O,CC([CH2])C_m2.[O]OC(C)C_m2>>[O]CC(C)C_m2.CC([O])C_m2,1.47E-08
1228,CH3COCH3+CH3<=>TC4H9O,CC(=O)C_m1.[CH3]_m2>>CC([O])(C)C_m2,0.000000161
1229,TC4H9O+O2<=>IC4H8O+HO2,CC([O])(C)C_m2.[O][O]_m3>>CC1(C)OC1_m1.O[O]_m2,0.000000191
1230,IC4H9O+H<=>IC3H7CHO+H2,[O]CC(C)C_m2.[H]_m2>>O=CC(C)C_m1.[H][H]_m1,0.000000279
1231,IC4H9O+O2<=>IC3H7CHO+HO2,[O]CC(C)C_m2.[O][O]_m3>>O=CC(C)C_m1.O[O]_m2,0.000000161
1232,IC4H9O+O<=>IC3H7CHO+OH,[O]CC(C)C_m2.[O]_m3>>O=CC(C)C_m1.[OH]_m2,0.000000044
1233,IC4H9O+OH<=>IC3H7CHO+H2O,[O]CC(C)C_m2.[OH]_m2>>O=CC(C)C_m1.O_m1,0.000000044
1234,IC4H9O+HO2<=>IC3H7CHO+H2O2,[O]CC(C)C_m2.O[O]_m2>>O=CC(C)C_m1.OO_m1,0.000000161
1235,IC4H9O+CH3<=>IC3H7CHO+CH4,[O]CC(C)C_m2.[CH3]_m2>>O=CC(C)C_m1.C_m1,0.000000161
1236,IC3H7CHO+H<=>IC4H9O,O=CC(C)C_m1.[H]_m2>>[O]CC(C)C_m2,0.000000044
1237,CH2O+IC3H7<=>IC4H9O,C=O_m1.C[CH]C_m2>>[O]CC(C)C_m2,0.000000161
1238,TC3H6CHO+H<=>IC3H7CHO,O=C[C](C)C_m2.[H]_m2>>O=CC(C)C_m1,0.000000044
1239,SC4H7OH-I<=>IC3H7CHO,OC=C(C)C_m1>>O=CC(C)C_m1,0.000000161
1240,IC3H7+HCO<=>IC3H7CHO,C[CH]C_m2.[CH]=O_m2>>O=CC(C)C_m1,0.000000191
1241,IC4H8O<=>IC3H7CHO,CC1(C)OC1_m1>>O=CC(C)C_m1,0.000000132
1242,IC3H7CHO+HO2<=>IC3H7CO+H2O2,O=CC(C)C_m1.O[O]_m2>>O=[C]C(C)C_m2.OO_m1,0.000000543
1243,IC3H7CHO+CH3<=>IC3H7CO+CH4,O=CC(C)C_m1.[CH3]_m2>>O=[C]C(C)C_m2.C_m1,0.000000044
1244,IC3H7CHO+O<=>IC3H7CO+OH,O=CC(C)C_m1.[O]_m3>>O=[C]C(C)C_m2.[OH]_m2,0.000000103
1245,IC3H7CHO+O2<=>IC3H7CO+HO2,O=CC(C)C_m1.[O][O]_m3>>O=[C]C(C)C_m2.O[O]_m2,0.000000044
1246,IC3H7CHO+OH<=>IC3H7CO+H2O,O=CC(C)C_m1.[OH]_m2>>O=[C]C(C)C_m2.O_m1,0.000000573
1247,IC3H7CHO+H<=>IC3H7CO+H2,O=CC(C)C_m1.[H]_m2>>O=[C]C(C)C_m2.[H][H]_m1,0.000000279
1248,IC3H7CHO+OH<=>IC3H6CHO+H2O,O=CC(C)C_m1.[OH]_m2>>O=CC([CH2])C_m2.O_m1,0.000000396
1249,IC3H7CHO+HO2<=>IC3H6CHO+H2O2,O=CC(C)C_m1.O[O]_m2>>O=CC([CH2])C_m2.OO_m1,0.000000044
1250,IC3H7CHO+CH3O2<=>IC3H6CHO+CH3O2H,O=CC(C)C_m1.CO[O]_m2>>O=CC([CH2])C_m2.COO_m1,0.000000044
1251,TC3H6CHO+H2<=>IC3H7CHO+H,O=C[C](C)C_m2.[H][H]_m1>>O=CC(C)C_m1.[H]_m2,0.000000161
1252,IC3H7CHO+HO2<=>TC3H6CHO+H2O2,O=CC(C)C_m1.O[O]_m2>>O=C[C](C)C_m2.OO_m1,0.000000103
1253,IC3H7CHO+OH<=>TC3H6CHO+H2O,O=CC(C)C_m1.[OH]_m2>>O=C[C](C)C_m2.O_m1,0.000000308
1254,IC4H8O+OH<=>IC3H6CHO+H2O,CC1(C)OC1_m1.[OH]_m2>>O=CC([CH2])C_m2.O_m1,0.00000139
1255,IC4H8O+H<=>IC3H6CHO+H2,CC1(C)OC1_m1.[H]_m2>>O=CC([CH2])C_m2.[H][H]_m1,0.000000279
1256,IC4H8O+HO2<=>IC3H6CHO+H2O2,CC1(C)OC1_m1.O[O]_m2>>O=CC([CH2])C_m2.OO_m1,0.00000137
1257,IC4H8O+CH3O2<=>IC3H6CHO+CH3O2H,CC1(C)OC1_m1.CO[O]_m2>>O=CC([CH2])C_m2.COO_m1,7.34E-08
1258,IC4H8O+CH3<=>IC3H6CHO+CH4,CC1(C)OC1_m1.[CH3]_m2>>O=CC([CH2])C_m2.C_m1,0.000000161
1259,IC4H8O+O<=>IC3H6CHO+OH,CC1(C)OC1_m1.[O]_m3>>O=CC([CH2])C_m2.[OH]_m2,0.000000161
1260,IC4H8O+O2<=>IC3H6CHO+HO2,CC1(C)OC1_m1.[O][O]_m3>>O=CC([CH2])C_m2.O[O]_m2,0.000000132
1261,IC3H5CHO+H<=>TC3H6CHO,CC(=C)C=O_m1.[H]_m2>>O=C[C](C)C_m2,0.00000101
1262,IC3H6CO+H<=>TC3H6CHO,O=C=C(C)C_m1.[H]_m2>>O=C[C](C)C_m2,0.00000069
1263,IC3H6CO+OH<=>IC3H7+CO2,O=C=C(C)C_m1.[OH]_m2>>C[CH]C_m2.O=C=O_m1,0.000000338
1264,IC3H6CO+OH<=>C3H6OH2-1+CO,O=C=C(C)C_m1.[OH]_m2>>CC(O)[CH2]_m2.[C]=O_m3,1.47E-08
1265,TC3H6CHO+HO2<=>IC3H7CHO+O2,O=C[C](C)C_m2.O[O]_m2>>O=CC(C)C_m1.[O][O]_m3,0.000000984
1266,TC3H6CHO+CH3<=>IC3H5CHO+CH4,O=C[C](C)C_m2.[CH3]_m2>>CC(=C)C=O_m1.C_m1,0.000000044
1267,TC3H6CHO+CH2O<=>IC3H7CHO+HCO,O=C[C](C)C_m2.C=O_m1>>O=CC(C)C_m1.[CH]=O_m2,0.000000161
1268,TC3H6CHO+IC4H8<=>IC3H7CHO+IC4H7,O=C[C](C)C_m2.CC(=C)C_m1>>O=CC(C)C_m1.CC(=C)[CH2]_m2,0.000000161
1269,TC3H6CHO+O2<=>TC3H6O2CHO,O=C[C](C)C_m2.[O][O]_m3>>[O]OC(C=O)(C)C_m2,0.00000022
1270,TC3H6O2CHO<=>IC3H5O2HCHO,[O]OC(C=O)(C)C_m2>>OOC(C=O)([CH2])C_m2,0.00000025
1271,TC3H6O2CHO<=>TC3H6O2HCO,[O]OC(C=O)(C)C_m2>>OOC([C]=O)(C)C_m2,0.000000191
1272,IC3H5CHO+HO2<=>IC3H5O2HCHO,CC(=C)C=O_m1.O[O]_m2>>OOC(C=O)([CH2])C_m2,0.000000161
1273,TC3H6OCHO+OH<=>TC3H6CHO+HO2,O=CC([O])(C)C_m2.[OH]_m2>>O=C[C](C)C_m2.O[O]_m2,0.000000367
1274,TC3H6OCHO<=>CH3COCH3+HCO,O=CC([O])(C)C_m2>>CC(=O)C_m1.[CH]=O_m2,0.000000161
1275,TC3H6CHO+OH<=>IC3H6OHCHO,O=C[C](C)C_m2.[OH]_m2>>O=CC(O)(C)C_m1,0.000000161
1276,C3H6OH2-1+HCO<=>IC3H6OHCHO,CC(O)[CH2]_m2.[CH]=O_m2>>O=CC(O)(C)C_m1,0.000000514
1277,IC3H5CHO+H<=>IC3H5CO+H2,CC(=C)C=O_m1.[H]_m2>>CC(=C)[C]=O_m2.[H][H]_m1,0.000000191
1278,IC3H5CHO+O2<=>IC3H5CO+HO2,CC(=C)C=O_m1.[O][O]_m3>>CC(=C)[C]=O_m2.O[O]_m2,0.000000161
1279,IC3H5CHO+O<=>IC3H5CO+OH,CC(=C)C=O_m1.[O]_m3>>CC(=C)[C]=O_m2.[OH]_m2,0.00000025
1280,IC3H5CHO+OH<=>IC3H5CO+H2O,CC(=C)C=O_m1.[OH]_m2>>CC(=C)[C]=O_m2.O_m1,0.0000245
1281,IC3H5CHO+HO2<=>IC3H5CO+H2O2,CC(=C)C=O_m1.O[O]_m2>>CC(=C)[C]=O_m2.OO_m1,0.00000489
1282,IC3H5CHO+CH3<=>IC3H5CO+CH4,CC(=C)C=O_m1.[CH3]_m2>>CC(=C)[C]=O_m2.C_m1,1.47E-08
1283,IC3H5CHO+H<=>IC3H4CHO-A+H2,CC(=C)C=O_m1.[H]_m2>>[CH2]C(=C)C=O_m2.[H][H]_m1,0.000000279
1284,IC3H5CHO+O2<=>IC3H4CHO-A+HO2,CC(=C)C=O_m1.[O][O]_m3>>[CH2]C(=C)C=O_m2.O[O]_m2,0.000000044
1285,IC3H5CHO+OH<=>IC3H4CHO-A+H2O,CC(=C)C=O_m1.[OH]_m2>>[CH2]C(=C)C=O_m2.O_m1,0.00000609
1286,IC3H5CHO+O<=>IC3H4CHO-A+OH,CC(=C)C=O_m1.[O]_m3>>[CH2]C(=C)C=O_m2.[OH]_m2,0.00000022
1287,IC3H5CHO+HO2<=>IC3H4CHO-A+H2O2,CC(=C)C=O_m1.O[O]_m2>>[CH2]C(=C)C=O_m2.OO_m1,0.000000103
1288,IC3H5CHO+CH3<=>IC3H4CHO-A+CH4,CC(=C)C=O_m1.[CH3]_m2>>[CH2]C(=C)C=O_m2.C_m1,1.47E-08
1289,IC3H5CO<=>C3H5-T+CO,CC(=C)[C]=O_m2>>C[C]=C_m2.[C]=O_m3,0.000000426
1290,C3H4-A+HCO<=>IC3H4CHO-A,C=C=C_m1.[CH]=O_m2>>[CH2]C(=C)C=O_m2,0.000000132
1291,IC3H7+CO<=>IC3H7CO,C[CH]C_m2.[C]=O_m3>>O=[C]C(C)C_m2,0.000000103
1292,C2H3CHO+CH3<=>IC3H6CHO,C=CC=O_m1.[CH3]_m2>>O=CC([CH2])C_m2,0.0000579
1293,SC4H7OH-I+HO2<=>IC3H7CHO+HO2,OC=C(C)C_m1.O[O]_m2>>O=CC(C)C_m1.O[O]_m2,0.000000161
1294,SC4H7OH-I+HOCHO<=>IC3H7CHO+HOCHO,OC=C(C)C_m1.OC=O_m1>>O=CC(C)C_m1.OC=O_m1,7.34E-08
1295,SC4H7OH-I+H<=>IC4H6OH+H2,OC=C(C)C_m1.[H]_m2>>CC(=C)[CH]O_m2.[H][H]_m1,0.000000132
1296,SC4H7OH-I+O<=>IC4H6OH+OH,OC=C(C)C_m1.[O]_m3>>CC(=C)[CH]O_m2.[OH]_m2,0.000000103
1297,SC4H7OH-I+OH<=>IC4H6OH+H2O,OC=C(C)C_m1.[OH]_m2>>CC(=C)[CH]O_m2.O_m1,1.47E-08
1298,SC4H7OH-I+HO2<=>IC4H6OH+H2O2,OC=C(C)C_m1.O[O]_m2>>CC(=C)[CH]O_m2.OO_m1,0.00000022
1299,SC4H7OH-I+CH3<=>IC4H6OH+CH4,OC=C(C)C_m1.[CH3]_m2>>CC(=C)[CH]O_m2.C_m1,1.47E-08
1300,SC4H7OH-I+CH3O<=>IC4H6OH+CH3OH,OC=C(C)C_m1.C[O]_m2>>CC(=C)[CH]O_m2.CO_m1,0.00000022
1301,SC4H7OH-I+CH3O2<=>IC4H6OH+CH3O2H,OC=C(C)C_m1.CO[O]_m2>>CC(=C)[CH]O_m2.COO_m1,0.000000044
1302,IC4H6OH+H=>CH3+C3H4-A+OH,CC(=C)[CH]O_m2.[H]_m2>>[CH3]_m2.C=C=C_m1.[OH]_m2,0.000000132
1303,TC4H9+O2<=>IC4H8+HO2,C[C](C)C_m2.[O][O]_m3>>CC(=C)C_m1.O[O]_m2,0.000000103
1304,IC4H9+O2<=>IC4H8+HO2,CC([CH2])C_m2.[O][O]_m3>>CC(=C)C_m1.O[O]_m2,0.000000338
1305,IC4H9+O2<=>IC4H9O2,CC([CH2])C_m2.[O][O]_m3>>[O]OCC(C)C_m2,0.000000749
1306,TC4H9+O2<=>TC4H9O2,C[C](C)C_m2.[O][O]_m3>>[O]OC(C)(C)C_m2,0.000000161
1307,IC4H9O2<=>IC4H8+HO2,[O]OCC(C)C_m2>>CC(=C)C_m1.O[O]_m2,0.0000333
1308,IC4H9O2<=>IC4H8O2H-I,[O]OCC(C)C_m2>>OOCC([CH2])C_m2,0.000000191
1309,IC4H9O2<=>IC4H8O2H-T,[O]OCC(C)C_m2>>OOC[C](C)C_m2,0.0000359
1310,TC4H9O2<=>TC4H8O2H-I,[O]OC(C)(C)C_m2>>OOC([CH2])(C)C_m2,0.0000026
1311,IC4H8O2H-I<=>CC4H8O+OH,OOCC([CH2])C_m2>>CC1COC1_m1.[OH]_m2,0.00000189
1312,IC4H8O2H-I=>OH+CH2O+C3H6,OOCC([CH2])C_m2>>[OH]_m2.C=O_m1.CC=C_m1,0.00000688
1313,CC4H8O+OH=>CH2O+C3H5-A+H2O,CC1COC1_m1.[OH]_m2>>C=O_m1.[CH2]C=C_m2.O_m1,0.000000103
1314,CC4H8O+H=>CH2O+C3H5-A+H2,CC1COC1_m1.[H]_m2>>C=O_m1.[CH2]C=C_m2.[H][H]_m1,0.000000044
1315,CC4H8O+O=>CH2O+C3H5-A+OH,CC1COC1_m1.[O]_m3>>C=O_m1.[CH2]C=C_m2.[OH]_m2,7.34E-08
1316,CC4H8O+HO2=>CH2O+C3H5-A+H2O2,CC1COC1_m1.O[O]_m2>>C=O_m1.[CH2]C=C_m2.OO_m1,0.000000191
1317,CC4H8O+CH3O2=>CH2O+C3H5-A+CH3O2H,CC1COC1_m1.CO[O]_m2>>C=O_m1.[CH2]C=C_m2.COO_m1,0.00000022
1318,CC4H8O+CH3=>CH2O+C3H5-A+CH4,CC1COC1_m1.[CH3]_m2>>C=O_m1.[CH2]C=C_m2.C_m1,0.000000161
1319,IC4H8O2H-I+O2<=>IC4H8OOH-IO2,OOCC([CH2])C_m2.[O][O]_m3>>OOCC(CO[O])C_m2,0.00000183
1320,IC4H8O2H-T+O2<=>IC4H8OOH-TO2,OOC[C](C)C_m2.[O][O]_m3>>OOCC(O[O])(C)C_m2,0.000000161
1321,TC4H8O2H-I+O2<=>TC4H8OOH-IO2,OOC([CH2])(C)C_m2.[O][O]_m3>>[O]OCC(OO)(C)C_m2,7.34E-08
1322,IC4H8OOH-IO2<=>IC4KETII+OH,OOCC(CO[O])C_m2>>CC(C=O)COO_m1.[OH]_m2,0.0000305
1323,IC4H8OOH-TO2<=>IC4KETIT+OH,OOCC(O[O])(C)C_m2>>OOC(C=O)(C)C_m1.[OH]_m2,1.47E-08
1324,IC4H8OOH-TO2<=>TIC4H7Q2-I,OOCC(O[O])(C)C_m2>>OOCC(OO)([CH2])C_m2,0.000000044
1325,IC4H8OOH-IO2<=>IIC4H7Q2-I,OOCC(CO[O])C_m2>>OOCC(COO)[CH2]_m2,0.000000044
1326,IC4H8OOH-IO2<=>IIC4H7Q2-T,OOCC(CO[O])C_m2>>OOC[C](COO)C_m2,0.000000778
1327,TC4H8OOH-IO2<=>TIC4H7Q2-I,[O]OCC(OO)(C)C_m2>>OOCC(OO)([CH2])C_m2,0.00000022
1328,IC4H8O2H-T<=>IC4H8O+OH,OOC[C](C)C_m2>>CC1(C)OC1_m1.[OH]_m2,0.0000232
1329,AC3H5OOH+CH2O2H<=>IIC4H7Q2-I,OOCC=C_m1.[CH2]OO_m2>>OOCC(COO)[CH2]_m2,0.000000103
1330,IC4H7OOH+HO2<=>IIC4H7Q2-T,CC(=C)COO_m1.O[O]_m2>>OOC[C](COO)C_m2,0.000000044
1331,TIC4H7Q2-I<=>IC4H7OOH+HO2,OOCC(OO)([CH2])C_m2>>CC(=C)COO_m1.O[O]_m2,7.34E-08
1332,IC4KETII=>CH2O+C2H5CO+OH,CC(C=O)COO_m1>>C=O_m1.CC[C]=O_m2.[OH]_m2,7.34E-08
1333,IC4H9O2+CH3O2=>IC4H9O+CH3O+O2,[O]OCC(C)C_m2.CO[O]_m2>>[O]CC(C)C_m2.C[O]_m2.[O][O]_m3,0.00000022
1334,IC4H9O2+C2H5O2=>IC4H9O+C2H5O+O2,[O]OCC(C)C_m2.CCO[O]_m2>>[O]CC(C)C_m2.CC[O]_m2.[O][O]_m3,0.000000161
1335,IC4H9O2+CH3CO3=>IC4H9O+CH3CO2+O2,[O]OCC(C)C_m2.CC(=O)O[O]_m2>>[O]CC(C)C_m2.CC(=O)[O]_m2.[O][O]_m3,7.34E-08
1336,IC4H9O2+IC4H9O2=>O2+IC4H9O+IC4H9O,[O]OCC(C)C_m2.[O]OCC(C)C_m2>>[O][O]_m3.[O]CC(C)C_m2.[O]CC(C)C_m2,0.00000022
1337,IC4H9O2+TC4H9O2=>IC4H9O+TC4H9O+O2,[O]OCC(C)C_m2.[O]OC(C)(C)C_m2>>[O]CC(C)C_m2.CC([O])(C)C_m2.[O][O]_m3,0.000000161
1338,IC4H9O2+PC4H9O2=>IC4H9O+PC4H9O+O2,[O]OCC(C)C_m2.CCCCO[O]_m2>>[O]CC(C)C_m2.CCCC[O]_m2.[O][O]_m3,7.34E-08
1339,IC4H9O2+SC4H9O2=>IC4H9O+SC4H9O+O2,[O]OCC(C)C_m2.CC(O[O])CC_m2>>[O]CC(C)C_m2.CCC([O])C_m2.[O][O]_m3,0.000000103
1340,IC4H9O2+NC3H7O2=>IC4H9O+NC3H7O+O2,[O]OCC(C)C_m2.CCCO[O]_m2>>[O]CC(C)C_m2.CCC[O]_m2.[O][O]_m3,1.47E-08
1341,IC4H9O2+IC3H7O2=>IC4H9O+IC3H7O+O2,[O]OCC(C)C_m2.[O]OC(C)C_m2>>[O]CC(C)C_m2.CC([O])C_m2.[O][O]_m3,0.000000338
1342,IC4H9O2+HO2=>IC4H9O+OH+O2,[O]OCC(C)C_m2.O[O]_m2>>[O]CC(C)C_m2.[OH]_m2.[O][O]_m3,0.000000954
1343,TC4H9O2+CH3O2=>TC4H9O+CH3O+O2,[O]OC(C)(C)C_m2.CO[O]_m2>>CC([O])(C)C_m2.C[O]_m2.[O][O]_m3,0.000000103
1344,TC4H9O2+C2H5O2=>TC4H9O+C2H5O+O2,[O]OC(C)(C)C_m2.CCO[O]_m2>>CC([O])(C)C_m2.CC[O]_m2.[O][O]_m3,0.000000161
1345,TC4H9O2+CH3CO3=>TC4H9O+CH3CO2+O2,[O]OC(C)(C)C_m2.CC(=O)O[O]_m2>>CC([O])(C)C_m2.CC(=O)[O]_m2.[O][O]_m3,0.000000044
1346,TC4H9O2+TC4H9O2=>O2+TC4H9O+TC4H9O,[O]OC(C)(C)C_m2.[O]OC(C)(C)C_m2>>[O][O]_m3.CC([O])(C)C_m2.CC([O])(C)C_m2,0.000000161
1347,TC4H9O2+PC4H9O2=>TC4H9O+PC4H9O+O2,[O]OC(C)(C)C_m2.CCCCO[O]_m2>>CC([O])(C)C_m2.CCCC[O]_m2.[O][O]_m3,0.00000022
1348,TC4H9O2+SC4H9O2=>TC4H9O+SC4H9O+O2,[O]OC(C)(C)C_m2.CC(O[O])CC_m2>>CC([O])(C)C_m2.CCC([O])C_m2.[O][O]_m3,7.34E-08
1349,TC4H9O2+NC3H7O2=>TC4H9O+NC3H7O+O2,[O]OC(C)(C)C_m2.CCCO[O]_m2>>CC([O])(C)C_m2.CCC[O]_m2.[O][O]_m3,7.34E-08
1350,TC4H9O2+IC3H7O2=>TC4H9O+IC3H7O+O2,[O]OC(C)(C)C_m2.[O]OC(C)C_m2>>CC([O])(C)C_m2.CC([O])C_m2.[O][O]_m3,0.000000044
1351,TC4H9O2+HO2=>TC4H9O+OH+O2,[O]OC(C)(C)C_m2.O[O]_m2>>CC([O])(C)C_m2.[OH]_m2.[O][O]_m3,0.000000044
1352,IC4H9O2+CH3<=>IC4H9O+CH3O,[O]OCC(C)C_m2.[CH3]_m2>>[O]CC(C)C_m2.C[O]_m2,0.00000157
1353,IC4H9O2+C2H5<=>IC4H9O+C2H5O,[O]OCC(C)C_m2.C[CH2]_m2>>[O]CC(C)C_m2.CC[O]_m2,0.000000044
1354,IC4H9O2+IC3H7<=>IC4H9O+IC3H7O,[O]OCC(C)C_m2.C[CH]C_m2>>[O]CC(C)C_m2.CC([O])C_m2,7.34E-08
1355,IC4H9O2+NC3H7<=>IC4H9O+NC3H7O,[O]OCC(C)C_m2.CC[CH2]_m2>>[O]CC(C)C_m2.CCC[O]_m2,0.000000103
1356,IC4H9O2+PC4H9<=>IC4H9O+PC4H9O,[O]OCC(C)C_m2.CCC[CH2]_m2>>[O]CC(C)C_m2.CCCC[O]_m2,0.000000103
1357,IC4H9O2+SC4H9<=>IC4H9O+SC4H9O,[O]OCC(C)C_m2.C[CH]CC_m2>>[O]CC(C)C_m2.CCC([O])C_m2,0.000000103
1358,IC4H9O2+IC4H9<=>IC4H9O+IC4H9O,[O]OCC(C)C_m2.CC([CH2])C_m2>>[O]CC(C)C_m2.[O]CC(C)C_m2,0.000000103
1359,IC4H9O2+TC4H9<=>IC4H9O+TC4H9O,[O]OCC(C)C_m2.C[C](C)C_m2>>[O]CC(C)C_m2.CC([O])(C)C_m2,0.000000161
1360,IC4H9O2+C3H5-A<=>IC4H9O+C3H5O,[O]OCC(C)C_m2.[CH2]C=C_m2>>[O]CC(C)C_m2.[O]CC=C_m2,0.000000308
1361,IC4H9O2+C4H71-3<=>IC4H9O+C4H71-O,[O]OCC(C)C_m2.C[CH]C=C_m2>>[O]CC(C)C_m2.CC(C=C)[O]_m2,0.000000543
1362,IC4H9O2+IC4H7<=>IC4H9O+IC4H7O,[O]OCC(C)C_m2.CC(=C)[CH2]_m2>>[O]CC(C)C_m2.CC(=C)C[O]_m2,0.000000044
1363,TC4H9O2+CH3<=>TC4H9O+CH3O,[O]OC(C)(C)C_m2.[CH3]_m2>>CC([O])(C)C_m2.C[O]_m2,0.000000132
1364,TC4H9O2+C2H5<=>TC4H9O+C2H5O,[O]OC(C)(C)C_m2.C[CH2]_m2>>CC([O])(C)C_m2.CC[O]_m2,0.000000103
1365,TC4H9O2+IC3H7<=>TC4H9O+IC3H7O,[O]OC(C)(C)C_m2.C[CH]C_m2>>CC([O])(C)C_m2.CC([O])C_m2,0.000000103
1366,TC4H9O2+NC3H7<=>TC4H9O+NC3H7O,[O]OC(C)(C)C_m2.CC[CH2]_m2>>CC([O])(C)C_m2.CCC[O]_m2,0.000000103
1367,TC4H9O2+PC4H9<=>TC4H9O+PC4H9O,[O]OC(C)(C)C_m2.CCC[CH2]_m2>>CC([O])(C)C_m2.CCCC[O]_m2,0.000000161
1368,TC4H9O2+SC4H9<=>TC4H9O+SC4H9O,[O]OC(C)(C)C_m2.C[CH]CC_m2>>CC([O])(C)C_m2.CCC([O])C_m2,0.000000103
1369,TC4H9O2+IC4H9<=>TC4H9O+IC4H9O,[O]OC(C)(C)C_m2.CC([CH2])C_m2>>CC([O])(C)C_m2.[O]CC(C)C_m2,1.47E-08
1370,TC4H9O2+TC4H9<=>TC4H9O+TC4H9O,[O]OC(C)(C)C_m2.C[C](C)C_m2>>CC([O])(C)C_m2.CC([O])(C)C_m2,1.47E-08
1371,TC4H9O2+C3H5-A<=>TC4H9O+C3H5O,[O]OC(C)(C)C_m2.[CH2]C=C_m2>>CC([O])(C)C_m2.[O]CC=C_m2,0.000000044
1372,TC4H9O2+C4H71-3<=>TC4H9O+C4H71-O,[O]OC(C)(C)C_m2.C[CH]C=C_m2>>CC([O])(C)C_m2.CC(C=C)[O]_m2,0.000000132
1373,IC4H9O2H<=>IC4H9O+OH,OOCC(C)C_m1>>[O]CC(C)C_m2.[OH]_m2,0.000000132
1374,IC4H9O2+HO2<=>IC4H9O2H+O2,[O]OCC(C)C_m2.O[O]_m2>>OOCC(C)C_m1.[O][O]_m3,0.00000125
1375,IC4H9O2+H2O2<=>IC4H9O2H+HO2,[O]OCC(C)C_m2.OO_m1>>OOCC(C)C_m1.O[O]_m2,0.00000518
1376,IC4H9O2+H2<=>IC4H9O2H+H,[O]OCC(C)C_m2.[H][H]_m1>>OOCC(C)C_m1.[H]_m2,7.34E-08
1377,IC4H9O2+CH4<=>IC4H9O2H+CH3,[O]OCC(C)C_m2.C_m1>>OOCC(C)C_m1.[CH3]_m2,7.34E-08
1378,IC4H9O2+CH3OH<=>IC4H9O2H+CH2OH,[O]OCC(C)C_m2.CO_m1>>OOCC(C)C_m1.[CH2]O_m2,0.000000161
1379,IC4H9O2+CH2O<=>IC4H9O2H+HCO,[O]OCC(C)C_m2.C=O_m1>>OOCC(C)C_m1.[CH]=O_m2,0.000000895
1380,IC4H9O2+C2H6<=>IC4H9O2H+C2H5,[O]OCC(C)C_m2.CC_m1>>OOCC(C)C_m1.C[CH2]_m2,0.000000132
1381,IC4H9O2+C2H4<=>IC4H9O2H+C2H3,[O]OCC(C)C_m2.C=C_m1>>OOCC(C)C_m1.C=[CH]_m2,0.000000161
1382,IC4H9O2+C2H5OH<=>IC4H9O2H+PC2H4OH,[O]OCC(C)C_m2.CCO_m1>>OOCC(C)C_m1.[CH2]CO_m2,0.000000161
1383,IC4H9O2+C2H5OH<=>IC4H9O2H+SC2H4OH,[O]OCC(C)C_m2.CCO_m1>>OOCC(C)C_m1.C[CH]O_m2,0.000000044
1384,IC4H9O2+CH3CHO<=>IC4H9O2H+CH3CO,[O]OCC(C)C_m2.CC=O_m1>>OOCC(C)C_m1.C[C]=O_m2,0.000000778
1385,IC4H9O2+C3H8<=>IC4H9O2H+IC3H7,[O]OCC(C)C_m2.CCC_m1>>OOCC(C)C_m1.C[CH]C_m2,0.000000044
1386,IC4H9O2+C3H8<=>IC4H9O2H+NC3H7,[O]OCC(C)C_m2.CCC_m1>>OOCC(C)C_m1.CC[CH2]_m2,0.000000279
1387,IC4H9O2+C2H3CHO<=>IC4H9O2H+C2H3CO,[O]OCC(C)C_m2.C=CC=O_m1>>OOCC(C)C_m1.C=C[C]=O_m2,0.000000661
1388,IC4H9O2+C2H5CHO<=>IC4H9O2H+C2H5CO,[O]OCC(C)C_m2.CCC=O_m1>>OOCC(C)C_m1.CC[C]=O_m2,0.000000308
1389,IC4H9O2+C3H6<=>IC4H9O2H+C3H5-A,[O]OCC(C)C_m2.CC=C_m1>>OOCC(C)C_m1.[CH2]C=C_m2,0.000000044
1390,TC4H9O2H<=>TC4H9O+OH,OOC(C)(C)C_m1>>CC([O])(C)C_m2.[OH]_m2,0.000000279
1391,TC4H9O2+CH4<=>TC4H9O2H+CH3,[O]OC(C)(C)C_m2.C_m1>>OOC(C)(C)C_m1.[CH3]_m2,0.000000044
1392,TC4H9O2+C2H6<=>TC4H9O2H+C2H5,[O]OC(C)(C)C_m2.CC_m1>>OOC(C)(C)C_m1.C[CH2]_m2,0.000000103
1393,TC4H9O2+C3H8<=>TC4H9O2H+IC3H7,[O]OC(C)(C)C_m2.CCC_m1>>OOC(C)(C)C_m1.C[CH]C_m2,0.000000103
1394,TC4H9O2+C3H8<=>TC4H9O2H+NC3H7,[O]OC(C)(C)C_m2.CCC_m1>>OOC(C)(C)C_m1.CC[CH2]_m2,1.47E-08
1395,TC4H9O2+CH3OH<=>TC4H9O2H+CH2OH,[O]OC(C)(C)C_m2.CO_m1>>OOC(C)(C)C_m1.[CH2]O_m2,0.00000022
