chemkin_index,string,reaction_id,ig_delay
65,CH2+O2<=>HCO+OH,[CH2]_m3.[O][O]_m3>>[CH]=O_m2.[OH]_m2,0.00000333
66,CH2+O2=>CO2+H+H,[CH2]_m3.[O][O]_m3>>O=C=O_m1.[H]_m2.[H]_m2,0.00000912
67,CH2+O=>CO+H+H,[CH2]_m3.[O]_m3>>[C]=O_m3.[H]_m2.[H]_m2,7.34E-08
68,CH2+H<=>CH+H2,[CH2]_m3.[H]_m2>>[CH]_m4.[H][H]_m1,0.00000022
69,CH2+OH<=>CH+H2O,[CH2]_m3.[OH]_m2>>[CH]_m4.O_m1,0.000000044
70,CHV+AR<=>CH+AR,,0.000000161
71,CHV+H2O<=>CH+H2O,,0.000000191
72,CHV+CO<=>CH+CO,,1.47E-08
73,CHV+CO2<=>CH+CO2,,0.000000103
74,CHV+O2<=>CH+O2,,0.000000279
75,CHV+H2<=>CH+H2,,1.47E-08
76,CHV+CH4<=>CH+CH4,,0.000000044
77,CHV<=>CH,,0.000000161
78,CHV+N2<=>CH+N2,,0.000000132
79,C+H+M<=>CHV+M ,,0.00000022
80,CH+O2<=>CO+OHV,,0.000000103
81,CH+O2<=>HCO+O,[CH]_m4.[O][O]_m3>>[CH]=O_m2.[O]_m3,1.47E-08
82,CH+O<=>CO+H,[CH]_m4.[O]_m3>>[C]=O_m3.[H]_m2,0.000000044
83,CH+H<=>C+H2,[CH]_m4.[H]_m2>>[C]_m5.[H][H]_m1,0.000000044
84,CH+OH<=>HCO+H,[CH]_m4.[OH]_m2>>[CH]=O_m2.[H]_m2,0.000000044
85,CH+H2O<=>H+CH2O,[CH]_m4.O_m1>>[H]_m2.C=O_m1,0.00000022
86,CH+CO2<=>HCO+CO,[CH]_m4.O=C=O_m1>>[CH]=O_m2.[C]=O_m3,0.00000022
87,C+OH<=>CO+H,[C]_m5.[OH]_m2>>[C]=O_m3.[H]_m2,0.000000279
88,C+O2<=>CO+O,[C]_m5.[O][O]_m3>>[C]=O_m3.[O]_m3,0.000000044
89,CH3+O2(+M)<=>CH3O2(+M),[CH3]_m2.[O][O]_m3>>CO[O]_m2,0.0012544
90,CH3+O2<=>CH3O+O,[CH3]_m2.[O][O]_m3>>C[O]_m2.[O]_m3,0.00010031
91,CH3+O2<=>CH2O+OH,[CH3]_m2.[O][O]_m3>>C=O_m1.[OH]_m2,0.0014972
92,CH3+O<=>CH2O+H,[CH3]_m2.[O]_m3>>C=O_m1.[H]_m2,0.00027032
93,CH3+OH<=>CH2(S)+H2O,[CH3]_m2.[OH]_m2>>[CH2]_m1.O_m1,0.0000189
94,CH3+OH<=>CH2O+H2,[CH3]_m2.[OH]_m2>>C=O_m1.[H][H]_m1,0.00000186
95,CH3+OH<=>CH2OH+H,[CH3]_m2.[OH]_m2>>[CH2]O_m2.[H]_m2,0.000015
96,CH3+OH<=>H+CH3O,[CH3]_m2.[OH]_m2>>[H]_m2.C[O]_m2,0.0000103
97,CH3+OH<=>HCOH+H2,[CH3]_m2.[OH]_m2>>[CH]O_m3.[H][H]_m1,0.0000219
98,CH3+OH<=>CH2+H2O,[CH3]_m2.[OH]_m2>>[CH2]_m3.O_m1,0.00000671
99,CH3+HO2<=>CH3O+OH,[CH3]_m2.O[O]_m2>>C[O]_m2.[OH]_m2,0.048253
100,CH3O2+O<=>CH3O+O2,CO[O]_m2.[O]_m3>>C[O]_m2.[O][O]_m3,0.00065568
101,CH3O2+H<=>CH3O+OH,CO[O]_m2.[H]_m2>>C[O]_m2.[OH]_m2,0.00069871
102,CH3O2+OH<=>CH3OH+O2,CO[O]_m2.[OH]_m2>>CO_m1.[O][O]_m3,0.059517
103,CH3O2+HO2<=>CH3O2H+O2,CO[O]_m2.O[O]_m2>>COO_m1.[O][O]_m3,0.064669
104,CH3O2+H2O2<=>CH3O2H+HO2,CO[O]_m2.OO_m1>>COO_m1.O[O]_m2,0.017822
105,CH3O2+CH3<=>CH3O+CH3O,CO[O]_m2.[CH3]_m2>>C[O]_m2.C[O]_m2,0.01018
106,CH3O2+CH3O2=>CH2O+CH3OH+O2,CO[O]_m2.CO[O]_m2>>C=O_m1.CO_m1.[O][O]_m3,0.00062838
107,CH3O2+CH3O2=>O2+CH3O+CH3O,CO[O]_m2.CO[O]_m2>>[O][O]_m3.C[O]_m2.C[O]_m2,0.0020939
108,H2+CH3O2<=>H+CH3O2H,[H][H]_m1.CO[O]_m2>>[H]_m2.COO_m1,0.00022182
109,CH3O2H<=>CH3O+OH,COO_m1>>C[O]_m2.[OH]_m2,0.0020117
110,CH2O2H<=>CH2O+OH,[CH2]OO_m2>>C=O_m1.[OH]_m2,0.000000161
111,CH3OH(+M)<=>CH3+OH(+M),CO_m1>>[CH3]_m2.[OH]_m2,0.0030736
112,CH3OH(+M)<=>CH2(S)+H2O(+M),CO_m1>>[CH2]_m1.O_m1,0.00000357
113,CH3OH(+M)<=>CH2OH+H(+M),CO_m1>>[CH2]O_m2.[H]_m2,7.34E-08
114,CH3OH+H<=>CH3O+H2,CO_m1.[H]_m2>>C[O]_m2.[H][H]_m1,0.0000016
115,CH3OH+H<=>CH2OH+H2,CO_m1.[H]_m2>>[CH2]O_m2.[H][H]_m1,0.0000541
116,CH3OH+O<=>CH3O+OH,CO_m1.[O]_m3>>C[O]_m2.[OH]_m2,0.00000198
117,CH3OH+O<=>CH2OH+OH,CO_m1.[O]_m3>>[CH2]O_m2.[OH]_m2,0.000033
118,CH3OH+OH<=>CH3O+H2O,CO_m1.[OH]_m2>>C[O]_m2.O_m1,0.00027854
119,CH3OH+OH<=>CH2OH+H2O,CO_m1.[OH]_m2>>[CH2]O_m2.O_m1,0.0048084
120,CH3OH+O2<=>CH3O+HO2,CO_m1.[O][O]_m3>>C[O]_m2.O[O]_m2,0.036036
121,CH3OH+O2<=>CH2OH+HO2,CO_m1.[O][O]_m3>>[CH2]O_m2.O[O]_m2,0.000000191
122,CH3OH+HO2<=>CH3O+H2O2,CO_m1.O[O]_m2>>C[O]_m2.OO_m1,0.0021741
123,CH3OH+HO2<=>CH2OH+H2O2,CO_m1.O[O]_m2>>[CH2]O_m2.OO_m1,0.0020466
124,CH3OH+CH3<=>CH2OH+CH4,CO_m1.[CH3]_m2>>[CH2]O_m2.C_m1,0.0000239
125,CH3OH+CH3<=>CH3O+CH4,CO_m1.[CH3]_m2>>C[O]_m2.C_m1,0.00000345
126,CH3OH+HCO<=>CH2OH+CH2O,CO_m1.[CH]=O_m2>>[CH2]O_m2.C=O_m1,0.000000719
127,CH3OH+CH3O<=>CH2OH+CH3OH,CO_m1.C[O]_m2>>[CH2]O_m2.CO_m1,0.00000192
128,CH3OH+CH3O2<=>CH2OH+CH3O2H,CO_m1.CO[O]_m2>>[CH2]O_m2.COO_m1,0.00041304
129,CH2OH+O2<=>CH2O+HO2,[CH2]O_m2.[O][O]_m3>>C=O_m1.O[O]_m2,0.000000866
130,CH2OH+O2<=>CH2O+HO2,[CH2]O_m2.[O][O]_m3>>C=O_m1.O[O]_m2,0.00000545
131,CH2OH+H<=>CH2O+H2,[CH2]O_m2.[H]_m2>>C=O_m1.[H][H]_m1,0.000000103
132,CH2OH+HO2<=>CH2O+H2O2,[CH2]O_m2.O[O]_m2>>C=O_m1.OO_m1,0.0000111
133,CH2OH+HCO<=>CH2O+CH2O,[CH2]O_m2.[CH]=O_m2>>C=O_m1.C=O_m1,0.000000543
134,CH2OH+HCO<=>CH3OH+CO,[CH2]O_m2.[CH]=O_m2>>CO_m1.[C]=O_m3,0.000000161
135,CH2OH+CH3O<=>CH2O+CH3OH,[CH2]O_m2.C[O]_m2>>C=O_m1.CO_m1,1.47E-08
136,CH2OH+OH<=>H2O+CH2O,[CH2]O_m2.[OH]_m2>>O_m1.C=O_m1,0.000000514
137,CH2OH+O<=>OH+CH2O,[CH2]O_m2.[O]_m3>>[OH]_m2.C=O_m1,0.000000279
138,CH2OH+CH2OH<=>CH2O+CH3OH,[CH2]O_m2.[CH2]O_m2>>C=O_m1.CO_m1,1.47E-08
139,CH2OH+HO2<=>HOCH2O+OH,[CH2]O_m2.O[O]_m2>>OC[O]_m2.[OH]_m2,0.0000243
140,CH3O+O2<=>CH2O+HO2,C[O]_m2.[O][O]_m3>>C=O_m1.O[O]_m2,0.0055555
141,CH3O+H<=>CH2O+H2,C[O]_m2.[H]_m2>>C=O_m1.[H][H]_m1,0.00000697
142,CH3O+HO2<=>CH2O+H2O2,C[O]_m2.O[O]_m2>>C=O_m1.OO_m1,0.0001506
143,CH3O+CH3<=>CH2O+CH4,C[O]_m2.[CH3]_m2>>C=O_m1.C_m1,0.00019422
144,CH3O+CH3O<=>CH3OH+CH2O,C[O]_m2.C[O]_m2>>CO_m1.C=O_m1,0.00012206
145,HCOH+O2=>CO2+H+OH,[CH]O_m3.[O][O]_m3>>O=C=O_m1.[H]_m2.[OH]_m2,0.00000483
146,HCOH+O2<=>CO2+H2O,[CH]O_m3.[O][O]_m3>>O=C=O_m1.O_m1,0.00000474
147,HCOH+O=>CO2+H+H,[CH]O_m3.[O]_m3>>O=C=O_m1.[H]_m2.[H]_m2,0.00000022
148,HCOH+O=>CO+OH+H,[CH]O_m3.[O]_m3>>[C]=O_m3.[OH]_m2.[H]_m2,1.47E-08
149,HCOH+H<=>CH2O+H,[CH]O_m3.[H]_m2>>C=O_m1.[H]_m2,1.47E-08
150,HCOH+OH<=>HCO+H2O,[CH]O_m3.[OH]_m2>>[CH]=O_m2.O_m1,0.000000044
151,HCO+H(+M)<=>CH2O(+M),[CH]=O_m2.[H]_m2>>C=O_m1,0.000000161
152,CO+H2(+M)<=>CH2O(+M),[C]=O_m3.[H][H]_m1>>C=O_m1,0.000000279
153,CH2O+O2<=>HCO+HO2,C=O_m1.[O][O]_m3>>[CH]=O_m2.O[O]_m2,0.00026296
154,CH2O+O<=>HCO+OH,C=O_m1.[O]_m3>>[CH]=O_m2.[OH]_m2,0.00068034
155,CH2O+H<=>HCO+H2,C=O_m1.[H]_m2>>[CH]=O_m2.[H][H]_m1,0.0043782
156,CH2O+OH<=>HCO+H2O,C=O_m1.[OH]_m2>>[CH]=O_m2.O_m1,0.12348
157,CH2O+HO2<=>HCO+H2O2,C=O_m1.O[O]_m2>>[CH]=O_m2.OO_m1,0.080763
158,CH2O+CH3<=>HCO+CH4,C=O_m1.[CH3]_m2>>[CH]=O_m2.C_m1,0.0033948
159,CH2O+O2CHO<=>HCO+HO2CHO,C=O_m1.[O]OC=O_m2>>[CH]=O_m2.OOC=O_m1,0.0092805
160,CH2O+OCHO<=>HCO+HOCHO,C=O_m1.[O]C=O_m2>>[CH]=O_m2.OC=O_m1,0.000000103
161,CH2O+CH3O<=>HCO+CH3OH,C=O_m1.C[O]_m2>>[CH]=O_m2.CO_m1,0.00019038
162,CH2O+CH3O2<=>HCO+CH3O2H,C=O_m1.CO[O]_m2>>[CH]=O_m2.COO_m1,0.016802
163,HCO+M<=>H+CO+M ,[CH]=O_m2>>[H]_m2.[C]=O_m3,0.0018793
164,HCO+O2<=>CO+HO2,[CH]=O_m2.[O][O]_m3>>[C]=O_m3.O[O]_m2,0.035324
165,HCO+O<=>CO+OH,[CH]=O_m2.[O]_m3>>[C]=O_m3.[OH]_m2,0.000000984
166,HCO+H<=>CO+H2,[CH]=O_m2.[H]_m2>>[C]=O_m3.[H][H]_m1,0.00000627
167,HCO+OH<=>CO+H2O,[CH]=O_m2.[OH]_m2>>[C]=O_m3.O_m1,0.0000158
168,HCO+CH3<=>CH4+CO,[CH]=O_m2.[CH3]_m2>>C_m1.[C]=O_m3,0.0000607
169,HCO+HCO<=>CH2O+CO,[CH]=O_m2.[CH]=O_m2>>C=O_m1.[C]=O_m3,0.000000514
170,HCO+O<=>CO2+H,[CH]=O_m2.[O]_m3>>O=C=O_m1.[H]_m2,0.000000807
171,HCO+HO2=>CO2+H+OH,[CH]=O_m2.O[O]_m2>>O=C=O_m1.[H]_m2.[OH]_m2,0.0024005
172,HCO+HCO=>H2+CO+CO,[CH]=O_m2.[CH]=O_m2>>[H][H]_m1.[C]=O_m3.[C]=O_m3,0.000000161
173,CH2O+H(+M)<=>CH2OH(+M),C=O_m1.[H]_m2>>[CH2]O_m2,0.00035722
174,CH3O(+M)<=>CH2O+H(+M),C[O]_m2>>C=O_m1.[H]_m2,0.041051
175,CH2O+OH<=>HOCH2O,C=O_m1.[OH]_m2>>OC[O]_m2,0.012255
176,HOCH2O<=>HOCHO+H,OC[O]_m2>>OC=O_m1.[H]_m2,0.0000679
177,CH2O+HO2<=>OCH2O2H,C=O_m1.O[O]_m2>>OOC[O]_m2,0.0000173
178,OCH2O2H<=>HOCH2O2,OOC[O]_m2>>[O]OCO_m2,0.00000583
179,HOCH2O2+HO2<=>HOCH2O2H+O2,[O]OCO_m2.O[O]_m2>>OOCO_m1.[O][O]_m3,0.00020882
180,HOCH2O+OH<=>HOCH2O2H,OC[O]_m2.[OH]_m2>>OOCO_m1,0.000000396
181,HCO+O2<=>O2CHO,[CH]=O_m2.[O][O]_m3>>[O]OC=O_m2,0.025849
182,HOCHO<=>CO+H2O,OC=O_m1>>[C]=O_m3.O_m1,0.00000069
183,HOCHO<=>CO2+H2,OC=O_m1>>O=C=O_m1.[H][H]_m1,0.000000103
184,OCHO+HO2<=>HOCHO+O2,[O]C=O_m2.O[O]_m2>>OC=O_m1.[O][O]_m3,0.000000161
185,OCHO+H2O2<=>HOCHO+HO2,[O]C=O_m2.OO_m1>>OC=O_m1.O[O]_m2,0.000000837
186,HOCHO+H=>H2+CO2+H,OC=O_m1.[H]_m2>>[H][H]_m1.O=C=O_m1.[H]_m2,0.0000041
187,HOCHO+H=>H2+CO+OH,OC=O_m1.[H]_m2>>[H][H]_m1.[C]=O_m3.[OH]_m2,0.0000427
188,HOCHO+O=>CO+OH+OH,OC=O_m1.[O]_m3>>[C]=O_m3.[OH]_m2.[OH]_m2,0.00000753
189,HOCHO+OH=>H2O+CO2+H,OC=O_m1.[OH]_m2>>O_m1.O=C=O_m1.[H]_m2,0.00029034
190,HOCHO+OH=>H2O+CO+OH,OC=O_m1.[OH]_m2>>O_m1.[C]=O_m3.[OH]_m2,0.00026627
191,HOCHO+CH3=>CH4+CO+OH,OC=O_m1.[CH3]_m2>>C_m1.[C]=O_m3.[OH]_m2,0.0000832
192,HOCHO+HO2=>H2O2+CO+OH,OC=O_m1.O[O]_m2>>OO_m1.[C]=O_m3.[OH]_m2,0.0039667
193,OCHO+OH<=>HO2CHO,[O]C=O_m2.[OH]_m2>>OOC=O_m1,0.00048092
194,CH3+CH3(+M)<=>C2H6(+M),[CH3]_m2.[CH3]_m2>>CC_m1,0.0045423
195,C2H5+H(+M)<=>C2H6(+M),C[CH2]_m2.[H]_m2>>CC_m1,0.00020632
